title,channel,publish_date,category_id,view_count,like_count,comment_count
LAJA - DESESPERANZA (Video Oficial) Shot.by ‪‪‪@checkthefootage  #spanishdrill ,LAJA,2025-11-11T19:00:07Z,24,154607,15610,1858
Marvel Rivals Season 5 Patch Notes Are HERE!!!,Flats Two,2025-11-12T20:11:13Z,20,40702,2890,509
Gizwop -  Keep Trollin (Official Video),Gizwop,2025-11-11T20:09:53Z,22,56032,1416,95
I Got Every YOUTUBER Ritual in Steal a Brainrot!,GaraBLOX,2025-11-12T10:01:24Z,22,166714,5709,449
Living Inside Of My CRUSH'S Base Until She Notices!,Johnny Minecraft,2025-11-12T22:00:34Z,20,36866,896,121
DISPATCH - Ending & Final Boss Fight (Final Episode),Shirrako,2025-11-12T19:16:31Z,20,115038,3004,341
I Made the WRONG Choice! - DISPATCH [Episode 1 & 2] ,special edd,2025-11-11T20:53:54Z,20,243383,12653,1176
Hands-On: Valve Steam Frame Virtual Reality Headset!,Adam Savage’s Tested,2025-11-12T17:57:19Z,28,97427,6194,1622
The Best Minecraft Video of 2025,Ludwin,2025-11-11T20:01:00Z,20,432568,20400,1010
Dispatch Episode 7 & 8 - All Choices + Secret Scenes (Invisigal vs Blonde Blazer),Ben-Gun,2025-11-12T22:51:04Z,20,13664,1302,126
I Found The FIRST PLAYER In Steal A Brainrot!,Dash Roblox,2025-11-12T17:01:44Z,20,130330,2024,316
2.0 genius cycle,Ken,2025-11-12T11:45:06Z,24,379482,27130,996
Playing As A HELPFUL PIBBLE in Minecraft…,Dash,2025-11-12T21:00:00Z,20,41516,980,205
Dispatch | Episodes 7 & 8 Full Walkthrough (SEASON FINALE),Sadot The Gamer,2025-11-12T22:41:47Z,20,91277,1150,3
Smashing Slot Bonuses on Wheel Wednesday!,Brettski,2025-11-12T21:00:26Z,20,42629,2443,382
One Lore Fact for Every Card in Clash Royale *JYNXZI REACTS*,Jynxzi Live,2025-11-12T23:43:00Z,20,43751,2142,146
How I Accidentally Won A Hitman Tournament,Atrioc,2025-11-12T21:29:22Z,22,65672,7907,338
Pirate Software: The Legacy of a Liar,Joon The King,2025-11-11T17:38:48Z,24,358460,12290,3133
"She Was JEALOUS of my RARE Skeleton Wolfs, So I Did This... (99 Nights in the Forest)",Skull Plays,2025-11-12T19:50:43Z,22,46317,1344,142
Omz & Lily on ONE HEART in Minecraft WITHOUT Crazy Fan Girl!,Omz,2025-11-12T21:47:18Z,20,40309,1044,246
Streamer CRASHES OUT over 0 donations..,Asmongold TV  ,2025-11-11T13:01:35Z,20,940170,29864,8508
Dispatch Episode 7 Full Walkthrough (Uncensored) Invisigal Route,Rubhen925,2025-11-12T19:35:38Z,20,34891,1072,51
"I Spent $20,000 On STEAL A BRAINROT ACCOUNTS!",TxnsBlox,2025-11-12T16:00:36Z,20,81445,779,124
We Hosted a ONE HOUSE ONLY Tournament!,PWR,2025-11-12T15:00:43Z,20,180198,5564,304
First Look at Every Hero Balance Change in Season 5 | HUGE Buff Patch Breakdown | Marvel Rivals,Cozy Rivals,2025-11-12T18:30:42Z,20,71387,3615,958
"Surviving 99 Nights In The Forest, But It's MODDED",Foltyn Top Videos,2025-11-12T17:00:04Z,20,44500,2132,103
How Fast Can I Lose All My Money at the Casino?,Bluff,2025-11-12T17:00:09Z,20,68401,2250,248
Madden 26 Fantasy Draft! Chargers Franchise Ep. #1,Meags,2025-11-12T02:09:52Z,20,189630,7280,258
I think I downloaded the wrong Supermarket Simulator,SMii7Y,2025-11-11T20:13:00Z,20,833281,46770,1149
3 STRANGE Japanese Horror Games,AstralSpiff,2025-11-12T13:01:05Z,20,98737,7224,330
Techy Vs 4 CRAZY FAN GIRLS In Cars Vs RUNNERS... (GTA 5),TechyCrew,2025-11-12T19:00:32Z,20,62507,1678,378
The Complete Guide To Avatar The Last Airbender Prerelease! Magic: The Gathering Deck Building,Tolarian Community College,2025-11-12T17:20:54Z,20,56526,3319,256
THEY PUT A FASTER VERSION OF FREDBEAR IN HELLO NEIGHBOR..,HeyyVance,2025-11-12T20:31:16Z,20,51537,2478,161
Arc Raiders is a problem,Legendary Drops,2025-11-12T15:00:07Z,20,111183,9072,1869
I Secretly Cheated in a Brainrot Lucky Block Race...,Here's Johnny,2025-11-12T23:10:00Z,20,23224,721,97
Bdubs Teaches Gem and Grian Redstone! Hermitcraft S11 Stream,GeminiTwo,2025-11-12T15:32:50Z,22,61161,4620,315
The Most Advanced Soviet Tank,Spookston,2025-11-12T17:30:26Z,20,133247,10406,1017
